cpu_load,queue_level,queue_dropped,process_jitter,process_deadline_miss,process_exec_time,process_stack_left,sensor_deadline_miss,comm_deadline_miss,health_label
0.0,1.0,0.0,382.0,87.0,382.0,384.0,15.0,12.0,
2.0,0.0,0.0,379.0,91.0,382.0,384.0,15.0,13.0,
1.0,0.0,0.0,382.0,94.0,382.0,384.0,16.0,13.0,
7.0,0.0,0.0,482.0,98.0,382.0,384.0,17.0,14.0,
1.0,0.0,0.0,382.0,101.0,382.0,384.0,17.0,14.0,
7.0,0.0,0.0,382.0,105.0,382.0,384.0,18.0,15.0,
0.0,0.0,0.0,382.0,108.0,382.0,384.0,18.0,15.0,
7.0,0.0,0.0,382.0,112.0,382.0,384.0,19.0,16.0,
0.0,1.0,0.0,382.0,115.0,382.0,384.0,20.0,16.0,
7.0,0.0,0.0,382.0,119.0,382.0,384.0,20.0,17.0,
0.0,1.0,0.0,482.0,122.0,382.0,384.0,21.0,17.0,
7.0,0.0,0.0,382.0,126.0,382.0,384.0,21.0,18.0,
0.0,1.0,0.0,382.0,129.0,382.0,384.0,22.0,18.0,
2.0,0.0,0.0,379.0,133.0,382.0,384.0,22.0,19.0,
1.0,0.0,0.0,382.0,136.0,382.0,384.0,23.0,19.0,
7.0,0.0,0.0,482.0,140.0,382.0,384.0,24.0,20.0,
1.0,0.0,0.0,382.0,143.0,382.0,384.0,24.0,20.0,
7.0,0.0,0.0,382.0,147.0,382.0,384.0,25.0,21.0,
0.0,0.0,0.0,382.0,150.0,382.0,384.0,25.0,21.0,
7.0,0.0,0.0,382.0,154.0,382.0,384.0,26.0,22.0,
0.0,1.0,0.0,382.0,157.0,382.0,384.0,27.0,22.0,
7.0,0.0,0.0,382.0,161.0,382.0,384.0,27.0,23.0,
0.0,1.0,0.0,482.0,164.0,382.0,384.0,28.0,23.0,
7.0,0.0,0.0,382.0,168.0,382.0,384.0,28.0,24.0,
0.0,1.0,0.0,382.0,171.0,382.0,384.0,29.0,24.0,
2.0,0.0,0.0,379.0,175.0,382.0,384.0,29.0,25.0,
1.0,0.0,0.0,382.0,178.0,382.0,384.0,30.0,25.0,
7.0,0.0,0.0,482.0,182.0,382.0,384.0,31.0,26.0,
1.0,0.0,0.0,382.0,185.0,382.0,384.0,31.0,26.0,
7.0,0.0,0.0,382.0,189.0,382.0,384.0,32.0,27.0,
0.0,0.0,0.0,382.0,192.0,382.0,384.0,32.0,27.0,
7.0,0.0,0.0,382.0,196.0,382.0,384.0,33.0,28.0,
0.0,1.0,0.0,382.0,199.0,382.0,384.0,34.0,28.0,
7.0,0.0,0.0,382.0,203.0,382.0,384.0,34.0,29.0,
0.0,1.0,0.0,482.0,206.0,382.0,384.0,35.0,29.0,
7.0,0.0,0.0,382.0,210.0,382.0,384.0,35.0,30.0,
0.0,1.0,0.0,382.0,213.0,382.0,384.0,36.0,30.0,
2.0,0.0,0.0,379.0,217.0,382.0,384.0,36.0,31.0,
1.0,0.0,0.0,382.0,220.0,382.0,384.0,37.0,31.0,
7.0,0.0,0.0,482.0,224.0,382.0,384.0,38.0,32.0,
1.0,0.0,0.0,382.0,227.0,382.0,384.0,38.0,32.0,
7.0,0.0,0.0,382.0,231.0,382.0,384.0,39.0,33.0,
0.0,0.0,0.0,382.0,234.0,382.0,384.0,39.0,33.0,
7.0,0.0,0.0,382.0,238.0,382.0,384.0,40.0,34.0,
0.0,1.0,0.0,382.0,241.0,382.0,384.0,41.0,34.0,
7.0,0.0,0.0,382.0,245.0,382.0,384.0,41.0,35.0,
0.0,1.0,0.0,482.0,248.0,382.0,384.0,42.0,35.0,
7.0,0.0,0.0,382.0,252.0,382.0,384.0,42.0,36.0,
0.0,1.0,0.0,382.0,255.0,382.0,384.0,43.0,36.0,
2.0,0.0,0.0,379.0,259.0,382.0,384.0,43.0,37.0,
1.0,0.0,0.0,382.0,262.0,382.0,384.0,44.0,37.0,
7.0,0.0,0.0,482.0,266.0,382.0,384.0,45.0,38.0,
1.0,0.0,0.0,382.0,269.0,382.0,384.0,45.0,38.0,
7.0,0.0,0.0,382.0,273.0,382.0,384.0,46.0,39.0,
0.0,0.0,0.0,382.0,276.0,382.0,384.0,46.0,39.0,
7.0,0.0,0.0,382.0,280.0,382.0,384.0,47.0,40.0,
0.0,1.0,0.0,382.0,283.0,382.0,384.0,48.0,40.0,
7.0,0.0,0.0,382.0,287.0,382.0,384.0,48.0,41.0,
0.0,1.0,0.0,482.0,290.0,382.0,384.0,49.0,41.0,
7.0,0.0,0.0,382.0,294.0,382.0,384.0,49.0,42.0,
9,0,0,482,14,382,0,3,2,
9,0,0,482,14,382,0,3,2,
0,0,0,382,17,382,0,3,2,
0,0,0,382,17,382,0,3,2,
0,0,0,382,17,382,0,3,2,
9,0,0,382,21,382,0,4,3,
9,0,0,382,21,382,0,4,3,
9,0,0,382,21,382,0,4,3,
0,0,0,382,24,382,0,4,3,
0,0,0,382,24,382,0,4,3,
0,0,0,382,24,382,0,4,3,
0,0,0,382,24,382,0,4,3,
9,0,0,382,28,382,0,5,4,
9,0,0,382,28,382,0,5,4,
9,0,0,382,28,382,0,5,4,
0,0,0,382,31,382,0,6,4,
0,0,0,382,31,382,0,6,4,
0,0,0,382,31,382,0,6,4,
9,0,0,382,35,382,0,6,5,
9,0,0,382,35,382,0,6,5,
9,0,0,382,35,382,0,6,5,
0,0,0,482,38,382,0,7,5,
0,0,0,482,38,382,0,7,5,
0,0,0,482,38,382,0,7,5,
9,0,0,382,42,382,0,7,6,
9,0,0,382,42,382,0,7,6,
9,0,0,382,42,382,0,7,6,
0,0,0,382,45,382,0,8,6,
0,0,0,382,45,382,0,8,6,
0,0,0,382,45,382,0,8,6,
4,0,0,382,49,382,0,9,7,
4,0,0,382,49,382,0,9,7,
4,0,0,382,49,382,0,9,7,
1,0,0,382,52,382,0,9,7,
1,0,0,382,52,382,0,9,7,
1,0,0,382,52,382,0,9,7,
9,0,0,482,56,382,0,10,8,
9,0,0,482,56,382,0,10,8,
9,0,0,482,56,382,0,10,8,
0,0,0,382,59,382,0,10,8,
0,0,0,382,59,382,0,10,8,
0,0,0,382,59,382,0,10,8,
9,0,0,382,63,382,0,11,9,
9,0,0,382,63,382,0,11,9,
9,0,0,382,63,382,0,11,9,
0,0,0,382,66,382,0,11,9,
0,0,0,382,66,382,0,11,9,
0,0,0,382,66,382,0,11,9,
0,0,0,382,66,382,0,11,9,
9,0,0,382,70,382,0,12,10,
9,0,0,382,70,382,0,12,10,
9,0,0,382,70,382,0,12,10,
0,0,0,382,73,382,0,13,10,
0,0,0,382,73,382,0,13,10,
0,0,0,382,73,382,0,13,10,
9,0,0,382,77,382,0,13,11,
9,0,0,382,77,382,0,13,11,
9,0,0,382,77,382,0,13,11,
0,0,0,482,80,382,0,14,11,
0,0,0,482,80,382,0,14,11,
0,0,0,482,80,382,0,14,11,
9,0,0,382,84,382,0,14,12,
9,0,0,382,84,382,0,14,12,
9,0,0,382,84,382,0,14,12,
0,0,0,382,87,382,0,15,12,
0,0,0,382,87,382,0,15,12,
0,0,0,382,87,382,0,15,12,
4,0,0,382,91,382,0,16,13,
4,0,0,382,91,382,0,16,13,
4,0,0,382,91,382,0,16,13,
0,0,0,382,94,382,0,16,13,
0,0,0,382,94,382,0,16,13,
0,0,0,382,94,382,0,16,13,
9,0,0,482,98,382,0,17,14,
9,0,0,482,98,382,0,17,14,
9,0,0,482,98,382,0,17,14,
0,0,0,382,101,382,0,17,14,
0,0,0,382,101,382,0,17,14,
0,0,0,382,101,382,0,17,14,
9,0,0,382,105,382,0,18,15,
9,0,0,382,105,382,0,18,15,
9,0,0,382,105,382,0,18,15,
0,0,0,382,108,382,0,18,15,
0,0,0,382,108,382,0,18,15,
0,0,0,382,108,382,0,18,15,
0,0,0,382,108,382,0,18,15,
9,0,0,382,112,382,0,19,16,
9,0,0,382,112,382,0,19,16,
9,0,0,382,112,382,0,19,16,
0,0,0,382,115,382,0,20,16,
0,0,0,382,115,382,0,20,16,
0,0,0,382,115,382,0,20,16,
9,0,0,382,119,382,0,20,17,
9,0,0,382,119,382,0,20,17,
9,0,0,382,119,382,0,20,17,
0,0,0,482,122,382,0,21,17,
0,0,0,482,122,382,0,21,17,
0,0,0,482,122,382,0,21,17,
9,0,0,382,126,382,0,21,18,
9,0,0,382,126,382,0,21,18,
9,0,0,382,497,382,0,83,71,
0,0,0,482,500,382,0,84,71,
9,0,0,382,504,382,0,84,72,
0,0,0,382,507,382,0,85,72,
0,0,0,382,507,382,0,85,72,
4,0,0,382,511,382,0,86,73,
0,0,0,382,514,382,0,86,73,
9,0,0,482,518,382,0,87,74,
0,0,0,382,521,382,0,87,74,
9,0,0,382,525,382,0,88,75,
0,0,0,382,528,382,0,88,75,
9,0,0,382,532,382,0,89,76,
0,0,0,382,535,382,0,90,76,
9,0,0,382,539,382,0,90,77,
0,0,0,482,542,382,0,91,77,
9,0,0,382,546,382,0,91,78,
0,0,0,382,549,382,0,92,78,
4,0,0,382,553,382,0,93,79,
0,0,0,382,556,382,0,93,79,
9,0,0,482,560,382,0,94,80,
0,0,0,382,563,382,0,94,80,
9,0,0,382,567,382,0,95,81,
0,0,0,382,570,382,0,95,81,
9,0,0,382,574,382,0,96,82,
0,0,0,382,577,382,0,97,82,
9,0,0,382,581,382,0,97,83,
0,0,0,482,584,382,0,98,83,
9,0,0,382,588,382,0,98,84,
0,0,0,382,591,382,0,99,84,
4,0,0,382,595,382,0,100,85,
0,0,0,382,598,382,0,100,85,
9,0,0,482,602,382,0,101,86,
0,0,0,382,605,382,0,101,86,
0,0,0,382,605,382,0,101,86,
9,0,0,382,609,382,0,102,87,
0,0,0,382,612,382,0,102,87,
9,0,0,382,616,382,0,103,88,
0,0,0,382,619,382,0,104,88,
9,0,0,382,623,382,0,104,89,
0,0,0,482,626,382,0,105,89,
9,0,0,382,630,382,0,105,90,
0,0,0,382,633,382,0,106,90,
4,0,0,382,637,382,0,107,91,
0,0,0,382,640,382,0,107,91,
9,0,0,482,644,382,0,108,92,
0,0,0,382,647,382,0,108,92,
9,0,0,382,651,382,0,109,93,
0,0,0,382,654,382,0,109,93,
9,0,0,382,658,382,0,110,94,
0,0,0,382,661,382,0,111,94,
9,0,0,382,665,382,0,111,95,
0,0,0,482,668,382,0,112,95,
9,0,0,382,672,382,0,112,96,
0,0,0,382,675,382,0,113,96,
4,0,0,382,679,382,0,114,97,
0,0,0,382,682,382,0,114,97,
9,0,0,482,686,382,0,115,98,
0,0,0,382,689,382,0,115,98,
9,0,0,382,693,382,0,116,99,
0,0,0,382,696,382,0,116,99,
9,0,0,382,700,382,0,117,100,
0,0,0,382,703,382,0,118,100,
0,0,0,382,703,382,0,118,100,
9,0,0,382,707,382,0,118,101,
0,0,0,482,710,382,0,119,101,
9,0,0,382,714,382,0,119,102,
0,0,0,382,717,382,0,120,102,
4,0,0,382,721,382,0,121,103,
0,0,0,382,724,382,0,121,103,
9,0,0,482,728,382,0,122,104,
0,0,0,382,731,382,0,122,104,
9,0,0,382,735,382,0,123,105,
0,0,0,382,738,382,0,123,105,
9,0,0,382,742,382,0,124,106,
0,0,0,382,745,382,0,125,106,
9,0,0,382,749,382,0,125,107,
0,0,0,482,752,382,0,126,107,
9,0,0,382,756,382,0,126,108,
0,0,0,382,759,382,0,127,108,
4,0,0,382,763,382,0,128,109,
0,0,0,382,766,382,0,128,109,
9,0,0,482,770,382,0,129,110,
0,0,0,382,773,382,0,129,110,
9,0,0,382,777,382,0,130,111,
0,0,0,382,780,382,0,130,111,
9,0,0,382,784,382,0,131,112,
0,0,0,382,787,382,0,132,112,
9,0,0,382,791,382,0,132,113,
0,0,0,482,794,382,0,133,113,
9,0,0,382,798,382,0,133,114,
0,0,0,382,801,382,0,134,114,
0,0,0,382,801,382,0,134,114,
4,0,0,382,805,382,0,135,115,
0,0,0,382,808,382,0,135,115,
9,0,0,482,812,382,0,136,116,
0,0,0,382,815,382,0,136,116,
9,0,0,382,819,382,0,137,117,
0,0,0,382,822,382,0,137,117,
9,0,0,382,826,382,0,138,118,
0,0,0,382,829,382,0,139,118,
9,0,0,482,14,382,384,3,2,
0,0,0,482,38,382,384,7,5,
10,0,0,382,42,382,384,7,6,
0,0,0,382,45,382,384,8,6,
4,0,0,382,49,382,384,9,7,
1,0,0,382,52,382,384,9,7,
10,0,0,482,56,382,384,10,8,
0,0,0,382,59,382,384,10,8,
10,0,0,382,63,382,384,11,9,
0,0,0,382,66,382,384,11,9,
10,0,0,382,70,382,384,12,10,
0,0,0,382,73,382,384,13,10,
10,0,0,382,77,382,384,13,11,
0,0,0,482,80,382,384,14,11,
10,0,0,382,84,382,384,14,12,
0,0,0,382,87,382,384,15,12,
4,0,0,382,91,382,384,16,13,
1,0,0,382,94,382,384,16,13,
10,0,0,482,98,382,384,17,14,
0,0,0,382,101,382,384,17,14,
0,0,0,382,101,382,384,17,14,
10,0,0,382,105,382,384,18,15,
0,0,0,382,108,382,384,18,15,
10,0,0,382,112,382,384,19,16,
0,0,0,382,115,382,384,20,16,
