cpu_load,queue_level,queue_dropped,process_jitter,process_deadline_miss,process_exec_time,process_stack_left,sensor_deadline_miss,comm_deadline_miss,health_label
28.19,1,0,20.57,0,70.78,1810,0,0,0
89.12,10,29,323.41,13,416.37,82,12,10,2
22.29,0,0,19.67,0,96.4,1666,0,0,0
54.13,4,6,71.6,3,193.21,503,3,3,1
30.88,0,1,26.75,0,102.4,2039,0,0,0
97.85,9,10,204.7,14,327.55,291,11,7,2
30.62,1,1,12.53,0,58.29,1324,0,0,0
33.73,0,0,18.78,0,75.25,2004,0,0,0
41.21,1,1,24.13,0,87.29,1779,0,0,0
43.78,1,0,25.52,0,94.6,1040,0,0,0
39.84,1,1,16.66,0,106.14,997,0,0,0
68.56,5,7,58.78,4,179.38,733,3,3,1
75.51,9,9,234.64,16,494.74,112,6,7,2
44.73,2,1,25.17,0,119.32,1647,0,0,0
76.13,8,10,214.0,6,375.98,247,13,10,2
69.67,6,3,87.04,4,156.87,484,3,2,1
28.27,0,1,1.46,0,82.25,1891,0,0,0
64.42,5,6,79.82,1,181.75,451,2,2,1
62.0,4,3,77.24,2,166.18,531,2,2,1
33.4,0,0,25.73,0,82.4,1490,0,0,0
33.27,1,1,7.34,0,61.29,1185,0,0,0
91.24,9,23,170.88,6,398.41,141,9,7,2
65.94,6,4,33.41,4,181.55,408,1,1,1
36.56,1,1,28.82,0,75.96,1671,0,0,0
65.35,4,6,61.7,4,171.28,863,2,2,1
27.85,0,0,3.93,0,80.72,1704,0,0,0
20.57,0,1,14.47,0,104.79,974,0,0,0
87.79,7,13,277.66,8,315.36,176,10,5,2
64.35,4,4,32.3,3,125.03,458,1,1,1
62.26,5,2,97.07,4,221.59,692,1,2,1
29.86,1,1,7.72,0,102.66,1131,0,0,0
79.94,8,22,249.31,16,275.56,73,14,6,2
40.27,1,0,16.93,0,118.75,1737,0,0,0
53.36,3,2,61.58,1,219.8,601,2,3,1
66.87,3,7,89.52,2,180.51,882,3,1,1
62.3,6,5,30.07,1,248.81,417,2,3,1
39.47,2,0,13.48,0,69.06,1722,0,0,0
61.67,6,4,52.51,3,151.8,442,2,1,1
51.45,3,6,99.11,3,131.49,475,3,3,1
41.16,0,1,12.41,0,81.49,1106,0,0,0
34.28,0,1,1.48,0,76.15,1377,0,0,0
33.61,0,1,18.97,0,73.39,1462,0,0,0
41.27,0,1,6.83,0,53.54,1885,0,0,0
97.53,9,15,269.14,5,467.04,132,11,9,2
58.65,6,5,50.43,2,215.87,431,3,1,1
45.02,3,5,54.77,4,144.2,461,2,1,1
33.86,0,1,7.6,0,52.1,1138,0,0,0
50.82,4,7,40.21,1,191.32,513,3,1,1
61.63,6,6,48.43,4,167.66,609,2,2,1
85.05,7,22,207.8,13,313.12,198,8,12,2
47.71,6,3,49.17,4,156.32,416,1,1,1
35.16,1,1,10.34,0,88.99,1605,0,0,0
66.87,3,2,87.38,3,171.13,416,3,3,1
21.1,0,0,9.72,0,116.41,999,0,0,0
35.49,1,1,29.42,0,54.87,1970,0,0,0
33.24,1,0,13.04,0,59.22,1515,0,0,0
28.66,2,0,1.23,0,104.41,1042,0,0,0
26.52,1,0,7.39,0,108.94,1691,0,0,0
24.08,1,1,11.3,0,93.31,1056,0,0,0
47.65,6,3,88.85,3,171.23,598,2,1,1
24.91,0,0,23.32,0,118.03,1473,0,0,0
34.47,0,0,29.17,0,113.2,1678,0,0,0
78.42,7,17,305.68,19,528.26,54,8,7,2
62.92,4,4,55.29,1,194.35,826,1,1,1
43.54,1,0,26.88,0,57.03,1341,0,0,0
43.87,2,0,2.97,0,102.75,1570,0,0,0
57.65,5,2,76.12,4,186.45,466,2,1,1
58.81,5,3,87.36,3,124.4,649,2,3,1
30.92,0,1,14.59,0,83.46,1958,0,0,0
67.5,4,4,32.73,3,136.11,647,3,1,1
46.76,6,2,94.12,2,247.69,556,1,3,1
60.58,5,4,56.88,2,139.4,865,2,3,1
97.61,9,14,245.85,14,334.97,307,12,9,2
43.58,1,0,23.87,0,88.2,1345,0,0,0
44.25,0,1,8.65,0,101.36,2013,0,0,0
71.3,9,26,226.27,14,364.51,189,6,14,2
38.68,1,0,5.67,0,63.68,1326,0,0,0
69.73,4,2,88.15,4,182.09,425,1,3,1
21.38,0,0,1.6,0,91.38,1492,0,0,0
50.07,5,6,68.43,4,177.11,872,1,1,1
58.58,3,4,75.06,4,157.08,875,2,3,1
35.09,2,1,10.85,0,106.92,1070,0,0,0
49.94,4,7,87.61,4,234.07,851,3,3,1
40.05,1,1,19.27,0,104.53,1748,0,0,0
93.9,10,20,285.56,15,320.54,61,13,10,2
74.68,8,20,135.63,7,348.46,324,12,11,2
39.25,0,0,18.19,0,96.09,1286,0,0,0
69.88,6,2,56.93,1,165.78,490,1,1,1
40.46,2,1,14.06,0,60.7,1851,0,0,0
54.51,4,4,87.05,2,218.54,560,1,3,1
32.45,1,1,26.02,0,119.92,1441,0,0,0
60.36,5,4,57.91,2,195.66,635,1,2,1
